mmsi;signalpower;ppm;received_at;station_id;msg_id;imo ( International Maritime Organization number);callsign;shipname;shiptype (https://api.vtexplorer.com/docs/ref-aistypes.html) faire table;to_port;to_bow;to_stern;to_starboard;eta (estimation destination);draught (The depth of water a ship needs to float.);destination;status;turn;speed;lat;lon;course;heading;aid_type;alt;count (nombre personne);msg_types;channels
431011000;-2.947951;0;04/05/2024 01:41;0;NULL;9255921;7KAC;PACIFIC ISLANDER 2;70;16;127;34;9;05-06T17:00Z;7.5;FJ LTK;5;0;0;-22.264668;166.43446;265;105;NULL;NULL;59;40;3
431361000;-11.783885;-0.289352;02/05/2024 03:38;0;NULL;NULL;JQCA;YAHATAMARU NO.68;30;3;30;24;6;NULL;NULL;NULL;NULL;NULL;0;-22.265102;166.43658;325.6;511;NULL;NULL;104;17039360;3
431548000;-9.012715;-0.868056;17/03/2024 20:08;0;NULL;9370379;7KAA;SOUTH ISLANDER;71;17;128;33;8;03-17T17:00Z;7.8;NC NOU;5;0;0;-22.2648;166.43527;343;105;NULL;NULL;11;40;3
431663000;-7.045837;-1.446759;08/05/2024 22:33;0;NULL;9109275;JQRB;KAIGATAMARU NO.88;30;7;24;26;2;03-20T01:00Z;2;FISHING GROUND;0;0;0;-22.26861;166.43394;143.6;272;NULL;NULL;1091;42;3
477110600;-18.421328;-2.604167;05/05/2024 12:22;0;NULL;9354909;VREF8;SEAWAYS OLIVE;89;12;151;32;20;05-04T14:00Z;8.3;NOUMEA;5;0;0;-22.237291;166.40361;225.5;106;NULL;NULL;11;40;3
477477400;-4.714118;-2.314815;04/05/2024 01:41;0;NULL;9689952;VROO8;NEW GUINEA CHIEF;74;24;158;18;4;05-03T03:30Z;8.5;NCNOU;5;0;0;-22.264032;166.43195;290.2;104;NULL;NULL;4829;42;3
477477700;-17.67853;-3.18287;03/09/2024 06:41;0;NULL;9689964;VROO7;PAPUAN CHIEF;74;24;158;18;4;09-14T00:05Z;7.9;TW KHH;0;1;12.400001;-22.253166;166.37335;230.3;232;NULL;NULL;1161;42;3
477615600;-9.775331;-0.868056;03/04/2024 04:05;0;NULL;9848778;VRSL4;CARPENTERS VEGA;74;13;165;21;19;04-01T22:30Z;8.8;NC NOU;0;5;13.5;-22.30178;166.41333;139.5;143;NULL;NULL;18;42;3
503030700;-9.634649;-2.893518;04/09/2024 02:25;0;NULL;NULL;VJN3607;SUNNY SPELLS;36;2;6;8;2;NULL;NULL;NULL;NULL;NULL;0;-22.276718;166.4392;154.2;511;NULL;NULL;33;17039360;3
503068480;-7.313942;0.578704;09/05/2024 02:38;0;NULL;NULL;VMEC;MAJOR TOM;36;0;7;13;5;NULL;NULL;NULL;NULL;NULL;0.2;-22.279018;166.43147;360;511;NULL;NULL;25;17039360;3
503068770;-18.87607;0;14/06/2024 05:24;0;NULL;NULL;;SHELBY;36;0;15;1;4;NULL;NULL;NULL;NULL;NULL;1.4;-22.358438;166.36407;255.7;511;NULL;NULL;256;17039360;3
