"mmsi","signalpower","ppm","received_at","station_id","msg_id","imo","callsign","shipname","shiptype","to_port","to_bow","to_stern","to_starboard","eta","draught","destination","status","turn","speed","lat","lon","course","heading","aid_type","alt","count","msg_types","channels"
"503071000","0","0","2024-10-04 03:38:07","0",3,NULL,NULL,"YOUNG ENDEAVOUR     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.84088833333333","151.193835",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503702600","0","0","2024-10-04 03:38:10","0",3,NULL,NULL,"ELWING              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.85578","151.18926833333336",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503384300","0","0","2024-10-04 03:38:13","0",3,NULL,NULL,"PB PLENTY           ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.96756333333333","151.22001166666666",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"566952000","0","0","2024-10-04 03:38:24","0",3,NULL,NULL,"APL SAVANNAH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.970391666666664","151.206505",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503016010","0","0","2024-10-04 03:38:25","0",3,NULL,NULL,"MACLEAY             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86712833333333","151.22293166666665",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503039350","0","0","2024-10-04 03:40:22","0",3,NULL,NULL,"RHEMTIDE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86388","151.19539833333334",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"311000481","0","0","2024-10-04 03:41:14","0",3,NULL,NULL,"ICS RELIANCE        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.83974666666667","151.18585",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503695300","0","0","2024-10-04 03:49:28","0",3,NULL,NULL,"PV SEVER            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86291666666667","151.18354666666667",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503695300","0","0","2024-10-04 04:03:09","0",1,NULL,NULL,"PV SEVER            ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.86044666666667","151.19806666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"538010110","0","0","2024-10-04 04:03:09","0",3,NULL,NULL,"TS TIANJIN          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","-33.960813333333334","151.19922666666668",NULL,NULL,NULL,NULL,NULL,NULL,NULL
